service_id,date,exception_type
302041428,20260106,1
302041510,20260106,1
302041543,20260106,1
302041625,20260106,1
302041658,20260106,1
302041740,20260106,1
302041813,20260106,1
302041855,20260106,1
302041928,20260106,1
302042010,20260106,1
302042043,20260106,1
302042125,20260106,1
302042158,20260106,1
302042240,20260106,1
302042310,20260106,1
303010746,20260106,2
303010817,20260106,2
303010903,20260106,2
303010938,20260106,2
303011023,20260106,2
303011058,20260106,2
303011143,20260106,2
303011218,20260106,2
303011303,20260106,2
303011338,20260106,2
303011423,20260106,2
303011458,20260106,2
303011543,20260106,2
303011618,20260106,2
303011703,20260106,2
303011738,20260106,2
303011823,20260106,2
303011858,20260106,2
303011943,20260106,2
303012018,20260106,2
303012103,20260106,2
303012138,20260106,2
303012225,20260106,2
303012300,20260106,2
304010650,20260106,2
304010715,20260106,2
304010800,20260106,2
304010834,20260106,2
304010919,20260106,2
304010954,20260106,2
304011039,20260106,2
304011114,20260106,2
304011159,20260106,2
304011234,20260106,2
304011319,20260106,2
304011354,20260106,2
304011439,20260106,2
304011514,20260106,2
304011559,20260106,2
304011634,20260106,2
304011719,20260106,2
304011754,20260106,2
304011839,20260106,2
304011914,20260106,2
304011959,20260106,2
304012034,20260106,2
304012119,20260106,2
304012154,20260106,2
400010705,20260106,2
400010745,20260106,2
400010831,20260106,2
400010916,20260106,2
400011002,20260106,2
400011047,20260106,2
400011133,20260106,2
400011218,20260106,2
400011304,20260106,2
400011349,20260106,2
400011435,20260106,2
400011520,20260106,2
400011606,20260106,2
400011651,20260106,2
400011737,20260106,2
400011822,20260106,2
400011908,20260106,2
400011953,20260106,2
400012039,20260106,2
400012122,20260106,2
400012200,20260106,2
400040730,20260106,1
400040800,20260106,1
400040830,20260106,1
400040908,20260106,1
400040940,20260106,1
400041024,20260106,1
400041100,20260106,1
400041144,20260106,1
400041220,20260106,1
400041304,20260106,1
400041340,20260106,1
400041424,20260106,1
400041500,20260106,1
400041544,20260106,1
400041620,20260106,1
400041704,20260106,1
400041740,20260106,1
400041824,20260106,1
400041900,20260106,1
400041944,20260106,1
400042020,20260106,1
400042104,20260106,1
400042140,20260106,1
400042224,20260106,1
401010720,20260106,2
401010757,20260106,2
401010844,20260106,2
401010929,20260106,2
401011015,20260106,2
401011100,20260106,2
401011146,20260106,2
401011231,20260106,2
401011317,20260106,2
401011402,20260106,2
401011448,20260106,2
401011533,20260106,2
401011619,20260106,2
401011704,20260106,2
401011750,20260106,2
401011835,20260106,2
401011921,20260106,2
401012006,20260106,2
401012052,20260106,2
401012134,20260106,2
401012209,20260106,2
401040820,20260106,1
401040850,20260106,1
401040928,20260106,1
401041000,20260106,1
401041044,20260106,1
401041120,20260106,1
401041204,20260106,1
401041240,20260106,1
401041324,20260106,1
401041400,20260106,1
401041444,20260106,1
401041520,20260106,1
401041604,20260106,1
401041640,20260106,1
401041724,20260106,1
401041800,20260106,1
401041844,20260106,1
401041920,20260106,1
401042004,20260106,1
401042040,20260106,1
401042124,20260106,1
401042200,20260106,1
401042240,20260106,1
401042315,20260106,1
402010809,20260106,2
402010857,20260106,2
402010942,20260106,2
402011028,20260106,2
402011113,20260106,2
402011159,20260106,2
402011244,20260106,2
402011330,20260106,2
402011415,20260106,2
402011501,20260106,2
402011546,20260106,2
402011632,20260106,2
402011717,20260106,2
402011803,20260106,2
402011848,20260106,2
402011934,20260106,2
402012019,20260106,2
402012105,20260106,2
402012147,20260106,2
402012220,20260106,2
402012255,20260106,2
402040800,20260106,1
402040835,20260106,1
402040910,20260106,1
402040948,20260106,1
402041020,20260106,1
402041104,20260106,1
402041140,20260106,1
402041224,20260106,1
402041300,20260106,1
402041344,20260106,1
402041420,20260106,1
402041504,20260106,1
402041540,20260106,1
402041624,20260106,1
402041700,20260106,1
402041744,20260106,1
402041820,20260106,1
402041904,20260106,1
402041940,20260106,1
402042024,20260106,1
402042100,20260106,1
402042144,20260106,1
402042220,20260106,1
402042300,20260106,1
403010735,20260106,2
403010821,20260106,2
403010910,20260106,2
403010955,20260106,2
403011041,20260106,2
403011126,20260106,2
403011212,20260106,2
403011257,20260106,2
403011343,20260106,2
403011428,20260106,2
403011514,20260106,2
403011559,20260106,2
403011645,20260106,2
403011730,20260106,2
403011816,20260106,2
403011901,20260106,2
403011947,20260106,2
403012032,20260106,2
403012117,20260106,2
403012200,20260106,2
403012230,20260106,2
403040815,20260106,1
403040852,20260106,1
403040925,20260106,1
403041008,20260106,1
403041040,20260106,1
403041124,20260106,1
403041200,20260106,1
403041244,20260106,1
403041320,20260106,1
403041404,20260106,1
403041440,20260106,1
403041524,20260106,1
403041600,20260106,1
403041644,20260106,1
403041720,20260106,1
403041804,20260106,1
403041840,20260106,1
403041924,20260106,1
403042000,20260106,1
403042044,20260106,1
403042120,20260106,1
403042204,20260106,1
403042240,20260106,1
403042320,20260106,1
404010640,20260106,2
404010715,20260106,2
404010748,20260106,2
404010835,20260106,2
404010923,20260106,2
404011008,20260106,2
404011054,20260106,2
404011139,20260106,2
404011225,20260106,2
404011310,20260106,2
404011356,20260106,2
404011441,20260106,2
404011527,20260106,2
404011612,20260106,2
404011658,20260106,2
404011743,20260106,2
404011829,20260106,2
404011914,20260106,2
404012000,20260106,2
404012045,20260106,2
404012128,20260106,2
405010730,20260106,2
405010803,20260106,2
405010849,20260106,2
405010936,20260106,2
405011021,20260106,2
405011107,20260106,2
405011152,20260106,2
405011238,20260106,2
405011323,20260106,2
405011409,20260106,2
405011454,20260106,2
405011540,20260106,2
405011625,20260106,2
405011711,20260106,2
405011756,20260106,2
405011842,20260106,2
405011927,20260106,2
405012013,20260106,2
405012058,20260106,2
405012139,20260106,2
405012215,20260106,2
406010817,20260106,2
406010903,20260106,2
406010949,20260106,2
406011034,20260106,2
406011120,20260106,2
406011205,20260106,2
406011251,20260106,2
406011336,20260106,2
406011422,20260106,2
406011507,20260106,2
406011553,20260106,2
406011638,20260106,2
406011724,20260106,2
406011809,20260106,2
406011855,20260106,2
406011940,20260106,2
406012026,20260106,2
406012111,20260106,2
406012150,20260106,2
406012225,20260106,2
406012255,20260106,2
406012325,20260106,2
500010625,20260106,2
500010655,20260106,2
500010725,20260106,2
500010802,20260106,2
500010845,20260106,2
500010920,20260106,2
500011002,20260106,2
500011037,20260106,2
500011118,20260106,2
500011153,20260106,2
500011234,20260106,2
500011309,20260106,2
500011350,20260106,2
500011425,20260106,2
500011506,20260106,2
500011541,20260106,2
500011622,20260106,2
500011657,20260106,2
500011738,20260106,2
500011813,20260106,2
500011854,20260106,2
500011929,20260106,2
500012010,20260106,2
500012045,20260106,2
500012125,20260106,2
500040730,20260106,1
500040805,20260106,1
500040840,20260106,1
500040918,20260106,1
