service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
200020802,0,0,0,0,0,1,0,20260825,20261231
200020828,0,0,0,0,0,1,0,20260825,20261231
200020852,0,0,0,0,0,1,0,20260825,20261231
200020920,0,0,0,0,0,1,0,20260825,20261231
200020944,0,0,0,0,0,1,0,20260825,20261231
200021012,0,0,0,0,0,1,0,20260825,20261231
200021036,0,0,0,0,0,1,0,20260825,20261231
200021104,0,0,0,0,0,1,0,20260825,20261231
200021128,0,0,0,0,0,1,0,20260825,20261231
200021156,0,0,0,0,0,1,0,20260825,20261231
200021220,0,0,0,0,0,1,0,20260825,20261231
200021248,0,0,0,0,0,1,0,20260825,20261231
200021312,0,0,0,0,0,1,0,20260825,20261231
200021340,0,0,0,0,0,1,0,20260825,20261231
200021404,0,0,0,0,0,1,0,20260825,20261231
200021432,0,0,0,0,0,1,0,20260825,20261231
200021456,0,0,0,0,0,1,0,20260825,20261231
200021524,0,0,0,0,0,1,0,20260825,20261231
200021548,0,0,0,0,0,1,0,20260825,20261231
200021616,0,0,0,0,0,1,0,20260825,20261231
200021640,0,0,0,0,0,1,0,20260825,20261231
200021708,0,0,0,0,0,1,0,20260825,20261231
200021732,0,0,0,0,0,1,0,20260825,20261231
200021800,0,0,0,0,0,1,0,20260825,20261231
200021824,0,0,0,0,0,1,0,20260825,20261231
200021852,0,0,0,0,0,1,0,20260825,20261231
200021916,0,0,0,0,0,1,0,20260825,20261231
200021944,0,0,0,0,0,1,0,20260825,20261231
200022006,0,0,0,0,0,1,0,20260825,20261231
200022032,0,0,0,0,0,1,0,20260825,20261231
200022054,0,0,0,0,0,1,0,20260825,20261231
200022120,0,0,0,0,0,1,0,20260825,20261231
200022141,0,0,0,0,0,1,0,20260825,20261231
200022207,0,0,0,0,0,1,0,20260825,20261231
200022228,0,0,0,0,0,1,0,20260825,20261231
200022252,0,0,0,0,0,1,0,20260825,20261231
200022315,0,0,0,0,0,1,0,20260825,20261231
200030830,0,0,0,0,0,0,1,20260825,20261231
200030858,0,0,0,0,0,0,1,20260825,20261231
200030920,0,0,0,0,0,0,1,20260825,20261231
200030948,0,0,0,0,0,0,1,20260825,20261231
200031010,0,0,0,0,0,0,1,20260825,20261231
200031038,0,0,0,0,0,0,1,20260825,20261231
200031100,0,0,0,0,0,0,1,20260825,20261231
200031128,0,0,0,0,0,0,1,20260825,20261231
200031150,0,0,0,0,0,0,1,20260825,20261231
200031218,0,0,0,0,0,0,1,20260825,20261231
200031240,0,0,0,0,0,0,1,20260825,20261231
200031308,0,0,0,0,0,0,1,20260825,20261231
200031330,0,0,0,0,0,0,1,20260825,20261231
200031358,0,0,0,0,0,0,1,20260825,20261231
200031420,0,0,0,0,0,0,1,20260825,20261231
200031448,0,0,0,0,0,0,1,20260825,20261231
200031510,0,0,0,0,0,0,1,20260825,20261231
200031538,0,0,0,0,0,0,1,20260825,20261231
200031600,0,0,0,0,0,0,1,20260825,20261231
200031631,0,0,0,0,0,0,1,20260825,20261231
200031656,0,0,0,0,0,0,1,20260825,20261231
200031726,0,0,0,0,0,0,1,20260825,20261231
200031750,0,0,0,0,0,0,1,20260825,20261231
200031820,0,0,0,0,0,0,1,20260825,20261231
200031844,0,0,0,0,0,0,1,20260825,20261231
200031914,0,0,0,0,0,0,1,20260825,20261231
200031938,0,0,0,0,0,0,1,20260825,20261231
200032008,0,0,0,0,0,0,1,20260825,20261231
200032032,0,0,0,0,0,0,1,20260825,20261231
200032102,0,0,0,0,0,0,1,20260825,20261231
200032126,0,0,0,0,0,0,1,20260825,20261231
200032158,0,0,0,0,0,0,1,20260825,20261231
200032223,0,0,0,0,0,0,1,20260825,20261231
200032255,0,0,0,0,0,0,1,20260825,20261231
200032320,0,0,0,0,0,0,1,20260825,20261231
201010802,1,1,1,1,1,0,0,20260825,20261231
201010830,1,1,1,1,1,0,0,20260825,20261231
201010903,1,1,1,1,1,0,0,20260825,20261231
201010930,1,1,1,1,1,0,0,20260825,20261231
201011003,1,1,1,1,1,0,0,20260825,20261231
201011030,1,1,1,1,1,0,0,20260825,20261231
201011103,1,1,1,1,1,0,0,20260825,20261231
201011130,1,1,1,1,1,0,0,20260825,20261231
201011203,1,1,1,1,1,0,0,20260825,20261231
201011230,1,1,1,1,1,0,0,20260825,20261231
201011303,1,1,1,1,1,0,0,20260825,20261231
201011330,1,1,1,1,1,0,0,20260825,20261231
201011403,1,1,1,1,1,0,0,20260825,20261231
201011430,1,1,1,1,1,0,0,20260825,20261231
201011503,1,1,1,1,1,0,0,20260825,20261231
201011530,1,1,1,1,1,0,0,20260825,20261231
201011603,1,1,1,1,1,0,0,20260825,20261231
201011630,1,1,1,1,1,0,0,20260825,20261231
201011703,1,1,1,1,1,0,0,20260825,20261231
201011730,1,1,1,1,1,0,0,20260825,20261231
201011803,1,1,1,1,1,0,0,20260825,20261231
201011830,1,1,1,1,1,0,0,20260825,20261231
